pid,title,country,place,subject,contentyear_start,contentyear_end,keyword
vecnet:z890rt24s,Comparative determination of Plasmodium falciparum sporozoite rates in Afrotropical Anopheles from Kenya by dissection and ELISA,Kenya,Kisian| Kisumu District| Nyanza Province,Anopheles gambie sl| Anopheles arabiensis,1989,1989,|||||||||||Sporozoite Rate|||||||||||||
vecnet:z890rt26b,"Deforestation and vectorial capacity of Anopheles gambiae Giles mosquitoes in malaria transmission, Kenya",Kenya,Iguhu| Kakamega District| Western Province| Kisian| Kisumu District| Nyanza Provice,Anopheles gambie sl| Anopheles funestus| Anopheles arabiensis| Anopheles gambiae ss,2005,2005,|||||||||||||||||||Susceptibility to Infection|||||Weather
vecnet:z890rt316,Effects of microclimatic changes caused by deforestation on the survivorship and reproductive fitness of Anopheles gambiae in western Kenya highlands,Kenya,Iguhu| Kakamega District| Western Province Kisian| Kisumu District| Nyanza Provice,Anopheles gambiae ss,2004,2004,||||||||||||||||||Adult Survivorship||||||Weather
vecnet:z890rt45j,Spatial and temporal dynamics of malaria transmission in rural Western Kenya,Kenya,Asembo| Rarieda | Bondo District| Gem |Yala| Wagai Sub-Location| Siaya District |Nyanza Province,Anopheles gambie sl| Anopheles funestus| Anopheles arabiensis| Anopheles gambiae ss,2002,2004,||Species Occurence|Species Composition||||EIR|Host Seeking|||Sporozoite Rate|||||||||||||
vecnet:z890rt537,Frequent blood-feeding and restrictive sugar-feeding behavior enhance the malaria vector potential of Anopheles gambiae s.l. and An. funestus (Diptera:Culicidae) in western Kenya,Kenya,Kiaian| Kiumu | Saradidi | Bondo |Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles funestus,1985,1988,||Species Occurence||||||Host Seeking|||||||Resting Habit|Gonotrophic Cycle|Parity|||||||
vecnet:z890rt562,Anopheles gambiae complex egg-stage survival in dry soil from larval development sites in western Kenya,Kenya,Kisian| Kisumu District| Nyanza Province,Anopheles gambie sl,1987,1989,||||Larval Habitat|Duration Egg larval Pupal Stage|Immature Survivorship||||||||||||||||||
vecnet:z890rt59w,Ookinete rates in Afrotropical anopheline mosquitoes as a measure of human malaria infectiousness,Kenya,Kiaian| Kiumu andSaradidi| Bondo | Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles funestus,1990,1991,|||||||||||Sporozoite Rate||||||Parity|||||||
vecnet:z890rt61x,Plasmodium species identification by ELISA for sporozoites removed from dried dissection slides,Kenya,Kiaian| Kiumu andSaradidi| Bondo | Siaya District| Nyanza Province,Anopheles gambie sl,1988,1988,|||||||||||Sporozoite Rate|||||||||||||
vecnet:z890rt63g,Quantitation of malaria sporozoites transmitted in vitro during salivation by wild Afrotropical Anopheles,Kenya,Kiaian| Kiumu andSaradidi| Bondo|  Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles funestus,1988,1988,|||||||||||Sporozoite Rate||||||||Susceptibility to Infection|||||
vecnet:z890rt651,Quantitation of malaria sporozoites in the salivary glands of wild Afrotropical Anopheles,Kenya,Kiaian| Kiumu | Saradidi| Bondo |  Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles funestus,1987,1988,|||||||||||Sporozoite Rate||||||||Susceptibility to Infection|||||
